Variable,Label,Values
vio_fighting2,How many times were you in a physical fight at school or in your neighborhood?,"0 times = 1, 1 time = 2, 2 or 3 times = 3, 4 or 5 times = 4, 6 or 7 times = 5, 8 or 9 times = 6, 10 or 11 times = 7, 12 or more times = 8"
vio_fighting,"Questionnaire: Exposure to Fighting, average of fighting1 and fighting2, highe scores mean higher levels of exposure and involvement in fighting",
ses_perceived1,Your family had enough money to afford the kind of home you all needed.,"Never true = 1, Rarely true = 2, Sometimes true = 3, Often true = 4, Very often true = 5"
ses_perceived2,Your family had enough money to afford the kind of clothing you all needed.,"Never true = 1, Rarely true = 2, Sometimes true = 3, Often true = 4, Very often true = 5"
ses_perceived3,Your family had enough money to afford the kind of food that you all needed.,"Never true = 1, Rarely true = 2, Sometimes true = 3, Often true = 4, Very often true = 5"
ses_perceived4,Your family had enough money to afford the kind of medical care that you all needed.,"Never true = 1, Rarely true = 2, Sometimes true = 3, Often true = 4, Very often true = 5"
ses_perceived5,"I felt well-off (rich, wealthy) compared to other kids in my school.","Never true = 1, Rarely true = 2, Sometimes true = 3, Often true = 4, Very often true = 5"
ses_perceived6,"I felt well-off (rich, wealthy) compared to other kids in my neighborhood.","Never true = 1, Rarely true = 2, Sometimes true = 3, Often true = 4, Very often true = 5"
ses_perceived7,Your family struggled to make ends meet (get by financially),"Never true = 1, Rarely true = 2, Sometimes true = 3, Often true = 4, Very often true = 5"
ses_perceived,"Questionnaire: Family Resources, average score, higher scores mean higher percieved childhood resources",
ses_school_wjms_fee,School records: Fee waiver status,"No fee waiver = 0, fee waiver = 1"
ses_school_wjms_hom,School records: Homelessness status,"not homeless = 0, homeless = 1"
ses_school_wjms_frl,School records: Free lunch status,"no free lunch = 0, free lunch = 1"
ses_school_wjms_rel,School records: Reduced lunch status,"no reduced-price lunch = 0, reduced-price lunch = 1"
ses_interview_edu,"Interview: parental education level, mean of mother_education and father_education",
ses_interview_occup,occupational prestige: mean occupational prestige of mother and father's primary census score (higher scores mean more prestige),
ses_school_freelunch,"Free lunch status (binary variables coded as 0 = no free lunch and 1 = free lunch), wjms_economic_disadvantage was used for wjms data, bgc_free_lunch for Boys and Girls data",
eco_shifting_correct,Ecological Shifting: Total number of correct responses across all trials,
eco_shifting_re_rt,Ecological Shifting: Mean reaction time for all 'repeat' trials (ms),
eco_shifting_sw_rt,Ecological Shifting: Mean reaction time for all 'switch' trials (ms),
eco_shifting_sc,Ecological Shifting: The difference between the average reaction time for **valid** switch trials and average reaction time for **valid** repeat trials (ms),
abs_shifting_correct,Standard Shifting: Total number of correct responses across all trials,
abs_shifting_re_rt,Standard Shifting: Mean reaction time for all 'repeat' trials (ms),
abs_shifting_sw_rt,Standard Shifting: Mean reaction time for all 'switch' trials (ms),
abs_shifting_sc,Standard Shifting: The difference between the average reaction time for **valid** switch trials and average reaction time for **valid** repeat trials (ms),
eco_updating_r1_correct,"Ecological Updating: Round 1, total number correct (correctly reported bills, buses, and faces)",
eco_updating_r2_correct,"Ecological Updating: Round 2, total number correct (correctly reported bills, buses, and faces)",
eco_updating_r3_correct,"Ecological Updating: Round 3, total number correct (correctly reported bills, buses, and faces)",
eco_updating_r4_correct,"Ecological Updating: Round 4, total number correct (correctly reported bills, buses, and faces)",
eco_updating_r5_correct,"Ecological Updating: Round 5, total number correct (correctly reported bills, buses, and faces)",
eco_updating,Ecological Updating: Proportion correct for all rounds (total possible correct = 15),
abs_updating_r1_correct,"Standard Updating: Round 1, total number correct (correctly reported squares, trianlges, and circles)",
abs_updating_r2_correct,"Standard Updating: Round 2, total number correct (correctly reported squares, trianlges, and circles)",
abs_updating_r3_correct,"Standard Updating: Round 3, total number correct (correctly reported squares, trianlges, and circles)",
abs_updating_r4_correct,"Standard Updating: Round 4, total number correct (correctly reported squares, trianlges, and circles)",
abs_updating_r5_correct,"Standard Updating: Round 5, total number correct (correctly reported squares, trianlges, and circles)",
abs_updating,Standard Updating: Proportion correct for all rounds (total possible correct = 15),
