<<<<<<< HEAD
id,sample_code,interviewer,site,classroom,siblings_id,has_sibling,siblings_n,sex,ethnicity,age,non_arb_impaired_assent,non_arb_impaired,non_arb_attention_check,non_arb_q_responses,non_arb_sped_60min,non_arb_distractions,arb_sped,test_envr_noisy,test_envr_chaotic,test_envr_interrupted,test_envr_distracted,test_envr,csd1,csd2,csd3,csd4,csd5,csd6,csd7,csd8,csd9,csd10,csd11,csd12,csd13,csd14,csd,unp_perceived1,unp_perceived2,unp_perceived3,unp_perceived4,unp_perceived5,unp_perceived6,unp_perceived,unp_interview_disrupted,unp_interview_figures,unp_interview_moves,unp_interview,unp_agg,vio_neighborhood1,vio_neighborhood2,vio_neighborhood3,vio_neighborhood4,vio_neighborhood5,vio_neighborhood6,vio_neighborhood7,vio_neighborhood,vio_fighting1,vio_fighting2,vio_fighting,vio_agg,ses_perceived1,ses_perceived2,ses_perceived3,ses_perceived4,ses_perceived5,ses_perceived6,ses_perceived7,ses_perceived,ses_school_wjms_fee,ses_school_wjms_hom,ses_school_wjms_frl,ses_school_wjms_rel,ses_interview_edu,ses_interview_occup,ses_school_freelunch,ses_interview,ses_school,ses_agg,eco_shifting_correct,eco_shifting_re_rt,eco_shifting_sw_rt,eco_shifting_sc,abs_shifting_correct,abs_shifting_re_rt,abs_shifting_sw_rt,abs_shifting_sc,eco_updating_r1_correct,eco_updating_r2_correct,eco_updating_r3_correct,eco_updating_r4_correct,eco_updating_r5_correct,eco_updating,abs_updating_r1_correct,abs_updating_r2_correct,abs_updating_r3_correct,abs_updating_r4_correct,abs_updating_r5_correct,abs_updating
p0012,wjms,AG,wjms,wi_p3_2018,sibling_000,0,525,1,1,13,0,0,0,0,0,0,0,6,1,1,1,2.25,1,1,1,2,1,1,1,1,1,1,2,1,1,2,7,5,2,2,2,1,3,1.8333333333333333,2,3,5,1.398877036601611,0.7362167858449473,5,2,4,1,2,1,1,1.4285714285714286,2,3,2.5,-0.2794734473583471,5,5,5,5,4,5,3,4.833333333333333,0,0,0,0,0,44.01079940795895,0,-0.7680434081928559,0.5,0.39324541093910975,20,1567.8125,1574,757.6111111111111,24,1287.6875,997.75,-175.75,3,3,3,2,2,0.8666666666666667,1,2,0,2,2,0.4666666666666667
p0013,wjms,AG,wjms,wi_p2_2018,sibling_000,0,525,1,1,13,0,0,0,0,0,0,0,2,1,1,2,1.5,2,1,1,2,1,1,1,1,1,1,1,2,1,1,5,5,4,3,1,1,2,2,2,2,0,0.2105296373967261,0.13147306319956256,4,1,2,1,1,5,1,2.142857142857143,2,1,1.5,-0.15101236715212255,5,5,5,5,4,3,1,4.5,0,0,0,0,1,NA,0,-0.6910551206021867,0.5,0.2567130233383538,27,1250.25,1424,214.38636363636374,25,964.6875,978.875,77.60606060606062,2,2,1,1,2,0.5333333333333333,2,2,1,2,1,0.5333333333333333
p0014,wjms,AG,wjms,ca_p6_2018,sibling_000,0,525,2,1,15,0,0,0,0,0,0,0,3,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,5,1,1,2,2,1,1.3333333333333333,0,0,0,-0.7931382738148606,-0.9329751375778845,5,1,3,1,1,2,1,1.4285714285714286,3,1,2,-0.45386394383533296,5,5,5,5,2,2,2,4,0,0,0,0,3,69.11082077026364,0,2.0640659092439693,0.5,1.0646169688724783,28,1061.8125,1352.4375,299.7714285714287,28,831.875,942,58.545454545454504,3,3,3,2,1,0.8,3,3,3,3,3,1
p0015,wjms,AG,wjms,ca_p1_2018,wjms_sibling_250,1,2,2,1,14,0,0,0,0,0,0,0,2,1,1,1,1.25,1,2,2,1,1,1,2,1,1,1,2,2,1,1,3,4,2,2,1,2,1,1.6666666666666667,0,0,0,-0.7931382738148606,-0.7043957352917302,5,1,4,1,1,2,1,1.2857142857142858,3,1,2,-0.5493123584673723,4,4,4,5,1,1,1,3.1666666666666665,0,0,0,1,3,39.448500633239746,1,0.6609488377724657,-0.5,-0.2221977196089903,30,1418.9375,1295.0625,-161.52747252747258,28,1207.9375,1457.3125,165.46153846153857,1,3,2,1,2,0.6,2,3,2,3,2,0.8
p0016,wjms,AG,wjms,ca_p7_2018,sibling_000,0,525,2,1,14,0,0,1,0,0,0,0,2,1,1,1,1.25,1,1,1,1,1,1,2,1,1,1,2,2,1,1,3,4,1,4,4,3,3,2.8333333333333335,1,2,1,0.09451321624557076,0.6327235068231605,4,2,2,2,1,3,3,2.4285714285714284,4,1,2.5,0.3886654550659276,4,4,3,4,2,3,3,3.3333333333333335,0,0,0,0,1.5,44.92191219329835,0,0.09745632915427725,0.5,-0.0220148451197483,31,1201.9375,1347,31.677884615384528,28,1166.25,1100.75,57.3776223776224,2,3,3,0,3,0.7333333333333333,2,3,2,1,2,0.6666666666666666
p0017,wjms,AG,wjms,ca_p6_2018,sibling_000,0,525,1,1,14,0,0,0,0,0,0,0,1,1,4,1,1.75,1,1,1,1,1,2,1,1,1,1,1,2,1,1,4,5,2,2,1,1,1,1.3333333333333333,0,0,0,-0.7931382738148606,-0.9329751375778845,5,1,3,1,1,2,2,1.5714285714285714,3,2,2.5,-0.18402503272630788,5,5,5,5,4,4,2,4.666666666666667,0,0,0,0,2.5,43.1818199157715,0,0.5634122965900447,0.5,0.8210264566381476,32,917.25,1272.1875,354.9375,28,788.9375,970.5,133.79487179487182,2,3,3,3,3,0.9333333333333333,1,3,2,2,1,0.6
p0018,wjms,AG,wjms,NA,sibling_000,0,525,2,1,14,0,0,0,0,0,0,0,3,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,4,4,2,3,2,2,1,2,0,0,0,-0.7931382738148606,-0.4758163330055759,4,1,4,1,1,2,1,1.4285714285714286,1,1,1,-0.8026449367893047,4,4,4,3,2,2,3,3.1666666666666665,0,0,0,1,1.5,61.64274215698245,1,0.8884019417307362,-0.5,-0.13493489004126835,25,821.75,1356.3125,711.2166666666666,30,873.25,970.3125,192.75897435897446,1,3,1,3,3,0.7333333333333333,3,3,3,3,1,0.8666666666666667
p0019,wjms,MK,wjms,mo_p6_2018,sibling_000,0,525,1,1,14,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,6,5,4,2,1,1,1,1.6666666666666667,0,0,0,-0.7931382738148606,-0.7043957352917302,5,1,4,2,1,1,1,1.2857142857142858,2,1,1.5,-0.723702854944358,5,5,5,4,4,3,2,4.333333333333333,0,0,0,0,3,53.7535171508789,0,1.337619199054433,0.5,0.9519833584881551,24,1363.25,1273.625,-36.25,26,838.9375,923.625,-240.89999999999998,3,3,3,2,3,0.9333333333333333,3,2,3,2,3,0.8666666666666667
p0020,wjms,MK,wjms,mo_p6_2018,sibling_000,0,525,1,1,14,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,4,3,1,1,1,2,1,1.5,0,0,0,-0.7931382738148606,-0.8186854364348074,4,2,4,2,2,1,1,1.7142857142857142,3,2,2.5,-0.08857661809426869,5,5,5,4,3,4,1,4.333333333333333,0,0,0,0,1,45.171796798706055,0,-0.16485716272688183,0.5,0.3755553546227611,21,840.875,880.375,150.03174603174602,28,1117.75,1205.75,-62.045454545454504,2,3,2,0,2,0.6,3,3,3,1,1,0.7333333333333333
p0021,wjms,MK,wjms,mo_p5_2018,sibling_000,0,525,1,6,14,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,2,8,4,1,4,1,1,1,1.6666666666666667,0,0,0,-0.7931382738148606,-0.7043957352917302,2,2,1,3,1,4,4,3.2857142857142856,8,3,5.5,2.007698921720078,5,5,5,5,5,5,1,5,1,0,1,0,2,41.1953258514404,1,0.19531135870702743,-0.5,0.5125395714948265,28,1758.875,2630.0625,-1.727272727272748,31,1642.625,1548.375,43.91904761904766,2,3,3,2,1,0.7333333333333333,2,3,3,2,2,0.8
p0022,wjms,HH,wjms,ca_p7_2018,wjms_sibling_070,1,4,1,1,14,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,4,4,1,2,4,3,5,2.8333333333333335,1,3,4,0.8815956830753323,1.1089635367227821,4,1,4,1,2,1,1,1.4285714285714286,1,1,1,-0.8026449367893047,4,4,4,3,1,1,4,2.8333333333333335,0,0,1,0,2,33.11746978759765,1,-0.18679555982495483,-0.5,-0.7135056160903582,30,1242.125,1230.4375,181.8296703296702,31,860.875,1275.9375,468.1333333333332,2,3,2,3,3,0.8666666666666667,1,3,3,3,1,0.7333333333333333
p0023,wjms,HH,wjms,ca_p6_2018,sibling_000,0,525,2,1,15,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,2,2,1,2,1,1,1,2,2,2,1,1,8,5,1,1,1,1,1,1,0,0,0,-0.7931382738148606,-1.161554539864039,5,1,5,1,1,1,2,1.1428571428571428,2,2,2,-0.6447607730994116,5,5,5,5,4,3,1,4.5,0,0,0,0,3,38.9610404968262,0,0.6378905053188973,0.5,0.7665656199456834,27,934.9375,1421.9375,130.05769230769226,31,757.0625,1031.5,155.02857142857147,3,3,3,3,2,0.9333333333333333,3,3,3,2,1,0.8
p0024,wjms,HH,wjms,ca_p1_2018,sibling_000,0,525,2,1,14,0,0,0,0,0,0,0,2,1,4,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,3,5,3,3,1,4,3.1666666666666665,1,3,4,0.8815956830753323,1.3375429390089364,4,1,3,1,1,1,1,1.4285714285714286,3,1,2,-0.45386394383533296,4,5,4,4,1,1,3,3.1666666666666665,1,1,0,0,0,31.8860158920288,1,-1.341582182655182,-0.5,-0.9904726743078448,28,1691.625,3081.875,827.6363636363635,30,1771.5625,1311.375,8.928571428571331,0,1,2,1,3,0.4666666666666667,3,1,2,3,0,0.6
p0025,wjms,BM,wjms,wi_p2_2018,sibling_000,0,525,2,6,13,0,0,0,0,NA,0,NA,2,1,1,1,1.25,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,4,1,2,1,2,1,1.5,0,0,0,-0.7931382738148606,-0.8186854364348074,5,2,3,1,1,1,1,1.4285714285714286,3,1,2,-0.45386394383533296,5,4,4,5,1,1,2,3.3333333333333335,NA,NA,NA,NA,0,36.13329124450685,NA,-1.1406732676824902,NA,-0.9955385409990299,30,2061.6875,2765.375,1093.901098901099,28,1777.625,1496.5,103.96503496503487,3,3,2,2,0,0.6666666666666666,3,0,2,1,0,0.4
p0026,wjms,BM,wjms,ca_p1_2018,sibling_000,0,525,2,1,14,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,5,1,3,1,2,1,1.5,0,0,0,-0.7931382738148606,-0.8186854364348074,5,1,3,1,1,1,1,1.2857142857142858,3,4,3.5,-0.026140869036414716,5,5,5,5,3,2,1,4.166666666666667,0,0,0,0,1.5,29.59464931488035,0,-0.6275693635189155,0.5,0.1150003634181828,22,966.5625,1005.625,-55.78787878787887,29,1861.4375,1692.4375,280.5512820512822,2,3,3,3,2,0.8666666666666667,1,3,3,3,3,0.8666666666666667
p0027,wjms,HH,wjms,ca_p6_2018,sibling_000,0,525,1,1,15,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,3,2,4,4,4,3,1,3.3333333333333335,0,0,2,-0.3918733414397371,0.6812946700278819,3,3,4,3,2,4,3,2.857142857142857,4,3,3.5,1.0237916919160173,4,4,4,4,2,2,2,3.3333333333333335,0,0,0,0,3,58.560268402099595,0,1.564993008916545,0.5,0.5410084811918151,28,1052.1875,914.25,-40.59848484848476,29,685.875,933.375,164.79999999999995,3,3,3,3,3,1,3,3,3,3,3,1
p0028,wjms,HH,wjms,ca_p7_2018,wjms_sibling_140,1,2,1,1,14,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,6,5,1,3,1,2,1,1.5,0,0,0,-0.7931382738148606,-0.8186854364348074,4,2,3,1,1,5,2,2.2857142857142856,4,2,3,0.4676075369108742,5,5,5,5,3,3,2,4.333333333333333,0,0,1,0,3,37.6923065185547,1,0.5778755673152208,-0.5,0.3271728903174613,31,1241.6875,3965.375,476.88333333333344,28,1069.1875,1043.0625,59.846153846153925,3,3,3,3,2,0.9333333333333333,3,3,2,3,3,0.9333333333333333
p0029,wjms,BM,wjms,ca_p6_2018,sibling_000,0,525,2,1,14,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,4,3,3,2,5,4,4,3.5,2,2,3,0.8124270359594112,1.5242704643205176,4,2,3,2,2,3,2,2.2857142857142856,4,1,2.5,0.29321704043388835,4,4,4,4,1,1,4,3,0,0,1,0,1.5,28.572772026062,1,-0.675907236694938,-0.5,-0.8181197229084962,31,1167.6875,1608.875,405.8809523809525,31,1119.875,1275.8125,254.6696428571429,3,3,3,2,3,0.9333333333333333,3,3,3,3,1,0.8666666666666667
p0030,wjms,HH,wjms,ca_p7_2018,sibling_000,0,525,2,6,15,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,6,4,1,2,3,2,1,1.8333333333333333,0,0,0,-0.7931382738148606,-0.590106034148653,4,2,4,2,1,2,2,1.8571428571428572,2,1,1.5,-0.341909196416201,4,5,5,5,3,2,2,4,1,0,1,0,0,28.184937477111802,1,-1.5166543375923436,-0.5,-0.6424667120784207,32,1037.1875,1224.9375,187.75,32,1078.5,1187,19.63333333333344,3,3,2,2,0,0.6666666666666666,2,3,3,1,2,0.7333333333333333
p0031,wjms,BM,wjms,ca_p6_2018,sibling_000,0,525,1,1,14,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,7,5,1,1,2,1,1,1.1666666666666667,0,0,0,-0.7931382738148606,-1.0472648387209618,5,1,4,1,1,1,1,1.1428571428571428,1,1,1,-0.9935417660533832,5,5,5,5,2,1,1,3.8333333333333335,0,0,0,0,3,34.8640842437744,0,0.4440921364396628,0.5,0.3600763051650167,31,857.5,1671.25,538.2692307692307,30,867.9375,1016.375,261.742857142857,3,3,3,3,3,1,3,3,3,3,3,1
p0032,wjms,HH,wjms,wi_p4_2018,wjms_sibling_060,1,2,1,1,13,0,0,0,0,0,0,0,2,1,1,1,1.25,1,2,2,1,1,2,1,1,1,1,2,1,2,2,8,5,2,1,1,3,1,1.5,0,0,2,-0.3918733414397371,-0.575892042545967,4,2,3,1,1,1,1,1.5714285714285714,1,2,1.5,-0.5328060256802796,5,5,5,5,3,4,1,4.5,0,0,0,0,1,34.91090965270995,0,-0.6502280257100281,0.5,0.27237641839131055,20,517.375,695.75,81.53333333333336,27,965.625,1266.25,111.91666666666674,1,3,3,2,0,0.6,1,3,3,2,2,0.7333333333333333
p0033,wjms,HH,wjms,wi_p4_2018,sibling_000,0,525,1,1,13,0,0,0,0,0,0,0,3,2,3,3,2.75,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,4,2,3,3,3,2,2.5,0,0,2,-0.3918733414397371,0.10984616431249591,4,2,3,4,1,3,3,2.5714285714285716,4,2,3,0.6585043661749529,4,5,4,3,1,1,3,3,0,0,1,0,2,39.20254898071285,1,0.10104701141271859,-0.5,-0.5200397013363364,21,688.3125,771.1875,60.799999999999955,32,1453.75,1636.3125,50.049999999999955,1,3,1,0,0,0.3333333333333333,2,1,0,1,1,0.3333333333333333
p0034,wjms,HH,wjms,ca_p1_2018,wjms_sibling_280,1,2,2,1,15,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,2,2,2,2,1,1,1,2,2,2,1,2,8,5,4,2,3,1,1,2,0,0,0,-0.7931382738148606,-0.4758163330055759,3,4,4,2,3,3,3,2.857142857142857,1,1,1,0.15183920953108804,5,5,5,5,2,3,1,4.166666666666667,0,0,0,0,0.5,37.626277923584,0,-0.7959167153346686,0.5,0.05041357161792422,31,1143.375,1383.375,430.80000000000007,30,1077.25,1221.3125,195.8736263736264,3,3,3,3,3,1,3,3,3,3,1,0.8666666666666667
p0035,wjms,HH,wjms,ca_p7_2018,sibling_000,0,525,2,1,15,0,0,0,0,NA,0,NA,3,1,2,1,1.75,1,1,1,1,1,1,2,2,1,1,2,2,1,2,5,2,1,5,5,1,1,2.8333333333333335,3,1,0,0.3419934564683669,0.7824663888847958,5,2,4,1,1,2,4,1.8571428571428572,3,2,2.5,0.0068717965377706886,5,5,5,5,3,3,3,4.333333333333333,NA,NA,NA,NA,2,35.604923248291,NA,-0.06913152009148399,NA,0.3684210278320954,31,1154.8125,1381.875,345.8666666666668,31,995.5,1135.875,107.47619047619048,3,3,3,3,1,0.8666666666666667,3,3,3,2,3,0.9333333333333333
p0037,wjms,BM,wjms,ca_p7_2018,sibling_000,0,525,1,1,15,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,1,1,2,1,2,1,1,1,2,2,1,2,3,4,1,2,2,1,1,1.5,0,0,0,-0.7931382738148606,-0.8186854364348074,4,2,3,2,1,3,2,2.142857142857143,5,1,3,0.37215912227883496,5,5,5,5,3,1,1,4,0,0,0,0,3,44.1171474456787,0,0.8817898917744321,0.5,0.6110344552947474,25,1169.1875,766,-332.08333333333337,31,986.0625,1141.125,69.32211538461547,2,3,3,1,2,0.7333333333333333,3,3,3,3,3,1
p0038,wjms,MJ,wjms,ca_p1_2018,sibling_000,0,525,1,1,15,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,5,2,2,3,3,1,2,0,0,0,-0.7931382738148606,-0.4758163330055759,5,2,4,1,1,2,2,1.5714285714285714,1,1,1,-0.7071965221572654,5,5,5,5,1,1,2,3.6666666666666665,0,0,0,0,1,31.809700012207003,0,-0.7969245810941232,0.5,-0.1990767408222485,18,1358.3125,1888.0625,685.2,15,1565.75,1576.0625,-5.75,1,3,3,2,3,0.8,2,3,2,3,3,0.8666666666666667
p0039,wjms,BM,wjms,ca_p7_2018,sibling_000,0,525,1,1,14,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,2,1,2,1,2,2,1,2,1,2,1,2,5,4,1,2,2,1,1,1.5,0,0,0,-0.7931382738148606,-0.8186854364348074,4,3,3,2,2,4,2,2.5714285714285716,5,3,4,1.0072853591289246,5,5,5,5,3,4,2,4.5,0,0,0,0,1,57.03534507751465,0,0.3963243983016359,0.5,0.6738883090664582,21,596.8125,715.6875,-45.16666666666663,30,1195.375,957.875,-157.9076923076924,3,3,3,3,3,1,3,3,3,2,3,0.9333333333333333
p0041,wjms,AG,wjms,ca_p1_2018,sibling_000,1,525,2,1,14,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,3,4,2,2,3,2,1,2,0,0,0,-0.7931382738148606,-0.4758163330055759,4,2,4,1,1,3,2,1.8571428571428572,4,2,3,0.18126229301475652,4,4,5,4,3,2,3,3.6666666666666665,0,0,0,0,2,37.980958938598654,0,0.04326212356469769,0.5,0.12326253675982259,29,889.3125,1615.625,498.6303030303029,31,1194.5,1187.6875,108.16666666666674,2,3,2,1,2,0.6666666666666666,2,3,3,1,3,0.8
p0042,wjms,MK,wjms,ca_p7_2018,wjms_sibling_070,1,4,2,1,15,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,3,5,1,2,3,1,1,1.5,0,0,0,-0.7931382738148606,-0.8186854364348074,3,2,4,1,2,3,5,2.5714285714285716,1,1,1,-0.039057619732990434,5,5,5,5,4,3,2,4.5,0,0,0,0,2.5,47.7057189941406,0,0.7774063468582497,0.5,0.8200911462646358,29,1313.4375,2084.5,793.7032967032967,29,1268.1875,1098.25,22.96794871794873,2,3,2,3,2,0.8,0,3,2,1,0,0.4
